Name: Monk's Hill Road, Instruction: Head north on Monk's Hill Road, Distance: 146.9 meters, Time: 105.8 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Keep left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 161.1 meters, Time: 116.0 seconds
Name: -, Instruction: Turn left, Distance: 310.6 meters, Time: 223.6 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 115.6 meters, Time: 83.2 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.7 seconds
Name: Essex Road, Instruction: Turn right onto Essex Road, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Arrive at Essex Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
