Name: Rua José Higino, Instruction: Head northwest on Rua José Higino, Distance: 176.3 meters, Time: 127.0 seconds
Name: Rua Antônio Basílio, Instruction: Turn right onto Rua Antônio Basílio, Distance: 636.2 meters, Time: 458.1 seconds
Name: Rua Soriano de Sousa, Instruction: Turn sharp left onto Rua Soriano de Sousa, Distance: 149.4 meters, Time: 107.6 seconds
Name: Rua Barão de Mesquita, Instruction: Turn right onto Rua Barão de Mesquita, Distance: 2.7 meters, Time: 2.0 seconds
Name: Rua Barão de Mesquita, Instruction: Continue straight onto Rua Barão de Mesquita, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 245.2 meters, Time: 176.5 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: Rua Santa Sofia, Instruction: Turn right onto Rua Santa Sofia, Distance: 325.9 meters, Time: 234.6 seconds
Name: Rua Deputado Soares Filho, Instruction: Turn left onto Rua Deputado Soares Filho, Distance: 188.0 meters, Time: 135.4 seconds
Name: Rua Barão de Mesquita, Instruction: Turn right onto Rua Barão de Mesquita, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 239.6 meters, Time: 172.5 seconds
Name: -, Instruction: Keep left, Distance: 284.2 meters, Time: 204.6 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
