Name: Hazelbrae Road, Instruction: Head northeast on Hazelbrae Road, Distance: 148.4 meters, Time: 106.9 seconds
Name: Armadale Avenue, Instruction: Turn left onto Armadale Avenue, Distance: 180.6 meters, Time: 130.0 seconds
Name: Mayfield Avenue, Instruction: Turn right onto Mayfield Avenue, Distance: 90.0 meters, Time: 64.8 seconds
Name: Willard Avenue, Instruction: Turn left onto Willard Avenue, Distance: 89.5 meters, Time: 64.4 seconds
Name: Ostend Avenue, Instruction: Turn right onto Ostend Avenue, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Windermere Avenue, Instruction: Turn left onto Windermere Avenue, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 98.0 meters, Time: 70.5 seconds
Name: -, Instruction: Keep right, Distance: 124.5 meters, Time: 89.6 seconds
Name: Beresford Avenue, Instruction: Turn left onto Beresford Avenue, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 119.7 meters, Time: 86.2 seconds
Name: Runnymede Road, Instruction: Turn left onto Runnymede Road, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
