Name: Kent Street, Instruction: Head south on Kent Street, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 130.6 meters, Time: 94.1 seconds
Name: -, Instruction: Keep left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Keep right, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn right, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Keep right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight left, Distance: 121.5 meters, Time: 87.4 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: Beecroft Road, Instruction: Turn right onto Beecroft Road, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Footbridge, Instruction: Turn left onto Footbridge, Distance: 70.7 meters, Time: 50.9 seconds
Name: Langston Place, Instruction: Turn right onto Langston Place, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 359.5 meters, Time: 258.9 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 160.5 meters, Time: 115.6 seconds
Name: -, Instruction: Continue straight, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 84.7 meters, Time: 61.0 seconds
Name: Pembroke Street, Instruction: Continue straight onto Pembroke Street, Distance: 391.8 meters, Time: 282.1 seconds
Name: Terrys Creek Track, Instruction: Turn left onto Terrys Creek Track, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 233.8 meters, Time: 168.3 seconds
Name: Crimea Road, Instruction: Turn right onto Crimea Road, Distance: 10.4 meters, Time: 7.5 seconds
Name: Pembroke Road, Instruction: Turn slight left onto Pembroke Road, Distance: 89.3 meters, Time: 64.3 seconds
Name: Mawarra Crescent, Instruction: Turn left onto Mawarra Crescent, Distance: 303.6 meters, Time: 218.6 seconds
Name: -, Instruction: Turn left, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.9 seconds
Name: Epping Boys High School Access, Instruction: Turn slight right onto Epping Boys High School Access, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Arrive at Epping Boys High School Access, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
