Name: Karl-Mangold-Straße, Instruction: Head west on Karl-Mangold-Straße, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Orthstraße, Instruction: Turn left onto Orthstraße, Distance: 407.8 meters, Time: 293.6 seconds
Name: Oselstraße, Instruction: Turn right onto Oselstraße, Distance: 5.6 meters, Time: 4.0 seconds
Name: Orthstraße, Instruction: Turn left onto Orthstraße, Distance: 245.9 meters, Time: 177.1 seconds
Name: Kornbergerweg, Instruction: Turn slight right onto Kornbergerweg, Distance: 41.2 meters, Time: 29.7 seconds
Name: Pippinger Straße, Instruction: Turn right onto Pippinger Straße, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 182.4 meters, Time: 131.4 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Pippinger Straße, Instruction: Turn left onto Pippinger Straße, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Arrive at Pippinger Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
