Name: Rua Dez, Instruction: Head west on Rua Dez, Distance: 151.9 meters, Time: 109.4 seconds
Name: Rua Dezoito, Instruction: Turn left onto Rua Dezoito, Distance: 43.4 meters, Time: 31.2 seconds
Name: Rua Dezoito, Instruction: Keep right onto Rua Dezoito, Distance: 101.6 meters, Time: 73.1 seconds
Name: Rua Três, Instruction: Turn right onto Rua Três, Distance: 52.6 meters, Time: 37.8 seconds
Name: Estrada do Tinguí, Instruction: Turn left onto Estrada do Tinguí, Distance: 9.5 meters, Time: 6.9 seconds
Name: Estrada do Tinguí, Instruction: Continue straight onto Estrada do Tinguí, Distance: 501.7 meters, Time: 361.2 seconds
Name: Estrada do Campinho, Instruction: Turn right onto Estrada do Campinho, Distance: 91.9 meters, Time: 66.2 seconds
Name: Rua Frei Timótheo, Instruction: Turn left onto Rua Frei Timótheo, Distance: 8.6 meters, Time: 6.2 seconds
Name: Estrada do Campinho, Instruction: Turn left onto Estrada do Campinho, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 122.7 meters, Time: 88.4 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Keep right, Distance: 171.1 meters, Time: 123.2 seconds
Name: -, Instruction: Turn right, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Turn right, Distance: 91.6 meters, Time: 65.9 seconds
Name: Estrada do Campinho, Instruction: Turn slight left onto Estrada do Campinho, Distance: 910.3 meters, Time: 655.4 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
