Name: Aleppo Street, Instruction: Head west on Aleppo Street, Distance: 673.0 meters, Time: 484.5 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 64.7 meters, Time: 46.6 seconds
Name: Aden Street, Instruction: Turn right onto Aden Street, Distance: 80.0 meters, Time: 57.6 seconds
Name: Prescott Circuit, Instruction: Turn right onto Prescott Circuit, Distance: 51.8 meters, Time: 37.3 seconds
Name: Brocas Place, Instruction: Turn left onto Brocas Place, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn left, Distance: 142.6 meters, Time: 102.7 seconds
Name: Coling Place, Instruction: Turn right onto Coling Place, Distance: 87.5 meters, Time: 63.0 seconds
Name: Prescott Circuit, Instruction: Turn right onto Prescott Circuit, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: Torrance Crescent, Instruction: Turn right onto Torrance Crescent, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
