Name: Rue Le Goff, Instruction: Head northeast on Rue Le Goff, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: Rue Malebranche, Instruction: Turn right onto Rue Malebranche, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 132.7 meters, Time: 95.5 seconds
Name: -, Instruction: Keep right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Keep right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight left, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn right, Distance: 116.2 meters, Time: 83.6 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue Blainville, Instruction: Turn left onto Rue Blainville, Distance: 5.1 meters, Time: 3.6 seconds
Name: Rue Lacépède, Instruction: Enter the roundabout and take the 3rd exit onto Rue Lacépède, Distance: 343.9 meters, Time: 247.6 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn slight right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 132.0 meters, Time: 95.1 seconds
Name: -, Instruction: Turn right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
