Name: Sumach Street, Instruction: Head south on Sumach Street, Distance: 738.4 meters, Time: 531.7 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 447.9 meters, Time: 322.5 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.4 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: Berkeley Street, Instruction: Turn left onto Berkeley Street, Distance: 204.9 meters, Time: 147.5 seconds
Name: The Esplanade, Instruction: Turn right onto The Esplanade, Distance: 219.3 meters, Time: 157.9 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 201.3 meters, Time: 144.9 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 105.0 meters, Time: 75.6 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: Wilton Street, Instruction: Turn right onto Wilton Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: George Street South, Instruction: Turn left onto George Street South, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
