Name: River Oak Circuit, Instruction: Head south on River Oak Circuit, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 321.9 meters, Time: 231.8 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 388.6 meters, Time: 279.8 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Continue straight, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Continue straight, Distance: 276.8 meters, Time: 199.3 seconds
Name: -, Instruction: Turn right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 107.2 meters, Time: 77.2 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: Ascot Glen, Instruction: Turn left onto Ascot Glen, Distance: 48.3 meters, Time: 34.8 seconds
Name: Somerset Street, Instruction: Turn right onto Somerset Street, Distance: 247.1 meters, Time: 177.9 seconds
Name: Roxburgh Crescent, Instruction: Turn left onto Roxburgh Crescent, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Turn left, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
