Name: South Birch Street, Instruction: Head north on South Birch Street, Distance: 196.6 meters, Time: 141.5 seconds
Name: -, Instruction: Turn left, Distance: 191.5 meters, Time: 137.9 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: South Ash Street, Instruction: Turn right onto South Ash Street, Distance: 193.6 meters, Time: 139.4 seconds
Name: East Arkansas Avenue, Instruction: Turn left onto East Arkansas Avenue, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn right, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
