Name: Timmer Road, Instruction: Head south on Timmer Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Golden Pond Road, Instruction: Turn left onto Golden Pond Road, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 162.0 meters, Time: 116.6 seconds
Name: Horsefields Drive, Instruction: Turn left onto Horsefields Drive, Distance: 160.1 meters, Time: 115.3 seconds
Name: Murphys Shared Path, Instruction: Turn left onto Murphys Shared Path, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.6 seconds
Name: Murphys Shared Path, Instruction: Turn left onto Murphys Shared Path, Distance: 109.3 meters, Time: 78.7 seconds
Name: Murphys Shared Path, Instruction: Continue straight onto Murphys Shared Path, Distance: 118.3 meters, Time: 85.2 seconds
Name: Flat Bush School Road, Instruction: Turn right onto Flat Bush School Road, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 148.5 meters, Time: 106.9 seconds
Name: Moville Drive, Instruction: Turn right onto Moville Drive, Distance: 13.2 meters, Time: 9.5 seconds
Name: Flat Bush School Road, Instruction: Turn left onto Flat Bush School Road, Distance: 83.8 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 282.4 meters, Time: 203.3 seconds
Name: Riviera Drive, Instruction: Turn right onto Riviera Drive, Distance: 81.6 meters, Time: 58.7 seconds
Name: Sycamore Street, Instruction: Turn left onto Sycamore Street, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Arrive at Sycamore Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
