Name: Kawa Drive, Instruction: Head east on Kawa Drive, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Quattro Avenue, Instruction: Turn left onto Quattro Avenue, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Keep right, Distance: 163.1 meters, Time: 117.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn left, Distance: 722.1 meters, Time: 519.9 seconds
Name: -, Instruction: Turn right, Distance: 84.3 meters, Time: 60.7 seconds
Name: Whenua Road, Instruction: Turn right onto Whenua Road, Distance: 107.0 meters, Time: 77.1 seconds
Name: Bonnette Road, Instruction: Turn left onto Bonnette Road, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: Ormiston Town Centre Cycleway, Instruction: Turn right onto Ormiston Town Centre Cycleway, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 124.4 meters, Time: 89.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
