Name: Peter-Dörfler-Straße, Instruction: Head northwest on Peter-Dörfler-Straße, Distance: 243.7 meters, Time: 175.5 seconds
Name: Moosstraße, Instruction: Turn right onto Moosstraße, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 195.8 meters, Time: 141.0 seconds
Name: Pirschstraße, Instruction: Turn right onto Pirschstraße, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 173.5 meters, Time: 124.9 seconds
Name: -, Instruction: Turn right, Distance: 137.5 meters, Time: 99.0 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 394.2 meters, Time: 283.9 seconds
Name: -, Instruction: Continue straight, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Keep right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
