Name: Rua Senhor de Matosinhos, Instruction: Head west on Rua Senhor de Matosinhos, Distance: 175.3 meters, Time: 126.2 seconds
Name: Rua Heitor Carrilho, Instruction: Turn left onto Rua Heitor Carrilho, Distance: 125.7 meters, Time: 90.5 seconds
Name: Rua Frei Caneca, Instruction: Turn left onto Rua Frei Caneca, Distance: 27.9 meters, Time: 20.1 seconds
Name: Rua Van Erven, Instruction: Turn sharp right onto Rua Van Erven, Distance: 70.0 meters, Time: 50.4 seconds
Name: Rua Van Erven, Instruction: Keep left onto Rua Van Erven, Distance: 177.4 meters, Time: 127.7 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Continue straight, Distance: 67.6 meters, Time: 48.7 seconds
Name: Rua Van Erven, Instruction: Turn right onto Rua Van Erven, Distance: 16.2 meters, Time: 11.6 seconds
Name: Rua Van Erven, Instruction: Keep right onto Rua Van Erven, Distance: 183.8 meters, Time: 132.4 seconds
Name: -, Instruction: Continue straight, Distance: 208.4 meters, Time: 150.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 269.3 meters, Time: 193.9 seconds
Name: Rua Major Jacarandá, Instruction: Turn left onto Rua Major Jacarandá, Distance: 71.2 meters, Time: 51.3 seconds
Name: Rua Ambíri Cavalcânti, Instruction: Turn right onto Rua Ambíri Cavalcânti, Distance: 112.7 meters, Time: 81.1 seconds
Name: Rua Ambíri Cavalcânti, Instruction: Turn slight right onto Rua Ambíri Cavalcânti, Distance: 730.4 meters, Time: 525.9 seconds
Name: Rua Aristides Lobo, Instruction: Turn slight left onto Rua Aristides Lobo, Distance: 157.4 meters, Time: 113.3 seconds
Name: Praça Condessa Paulo de Frontin, Instruction: Turn right onto Praça Condessa Paulo de Frontin, Distance: 65.3 meters, Time: 47.0 seconds
Name: Avenida Paulo de Frontin, Instruction: Turn left onto Avenida Paulo de Frontin, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: Avenida Paulo de Frontin, Instruction: Turn left onto Avenida Paulo de Frontin, Distance: 10.9 meters, Time: 7.9 seconds
Name: Rua do Bispo, Instruction: Turn right onto Rua do Bispo, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Arrive at Rua do Bispo, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
