Name: Cottage Point Road, Instruction: Head south on Cottage Point Road, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 285.5 meters, Time: 205.5 seconds
Name: -, Instruction: Keep right, Distance: 161.2 meters, Time: 116.0 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep left, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Rutherford Avenue, Instruction: Turn right onto Rutherford Avenue, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 182.8 meters, Time: 131.6 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Pupple Street, Instruction: Turn right onto Pupple Street, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 165.8 meters, Time: 119.4 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Driver Street, Instruction: Turn left onto Driver Street, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Arrive at Driver Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
