Name: Place de la Montagne du Goulet, Instruction: Head east on Place de la Montagne du Goulet, Distance: 25.5 meters, Time: 18.4 seconds
Name: Rue Piet Mondrian, Instruction: Turn left onto Rue Piet Mondrian, Distance: 57.1 meters, Time: 41.1 seconds
Name: Rue Auguste Vitu, Instruction: Turn slight left onto Rue Auguste Vitu, Distance: 180.0 meters, Time: 129.6 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Keep left, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Keep left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn slight right, Distance: 317.5 meters, Time: 228.6 seconds
Name: -, Instruction: Keep right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 169.9 meters, Time: 122.3 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Keep left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 258.1 meters, Time: 185.8 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn slight right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: Rue Mademoiselle, Instruction: Turn left onto Rue Mademoiselle, Distance: 574.3 meters, Time: 413.5 seconds
Name: Rue Cambronne, Instruction: Turn right onto Rue Cambronne, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 58.5 meters, Time: 42.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
