Name: Dalecrest Drive, Instruction: Head west on Dalecrest Drive, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Keep right, Distance: 208.5 meters, Time: 150.1 seconds
Name: -, Instruction: Turn right, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Keep left, Distance: 343.9 meters, Time: 247.6 seconds
Name: -, Instruction: Keep right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 360.9 meters, Time: 259.8 seconds
Name: -, Instruction: Keep left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 246.4 meters, Time: 177.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
