Name: Avenue Principale, Instruction: Head southeast on Avenue Principale, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 238.8 meters, Time: 171.9 seconds
Name: -, Instruction: Keep right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Keep left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Keep right, Distance: 217.2 meters, Time: 156.4 seconds
Name: Chemin Latéral au Chemin de Fer, Instruction: Turn left onto Chemin Latéral au Chemin de Fer, Distance: 641.2 meters, Time: 461.6 seconds
Name: Chemin Latéral au Chemin de Fer, Instruction: Keep left onto Chemin Latéral au Chemin de Fer, Distance: 209.1 meters, Time: 150.6 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Chemin Latéral au Chemin de Fer, Instruction: Turn slight left onto Chemin Latéral au Chemin de Fer, Distance: 425.4 meters, Time: 306.3 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 141.3 meters, Time: 101.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
