Name: Durant Avenue, Instruction: Head north on Durant Avenue, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 199.5 meters, Time: 143.6 seconds
Name: -, Instruction: Turn right, Distance: 117.7 meters, Time: 84.8 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Keep right, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Keep right, Distance: 94.2 meters, Time: 67.8 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Binswood Avenue, Instruction: Turn left onto Binswood Avenue, Distance: 354.7 meters, Time: 255.4 seconds
Name: -, Instruction: Arrive at Binswood Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
