Name: Cloth Fair, Instruction: Head southwest on Cloth Fair, Distance: 73.2 meters, Time: 52.7 seconds
Name: Churchyard Path, Instruction: Turn left onto Churchyard Path, Distance: 36.1 meters, Time: 26.0 seconds
Name: Churchyard Path, Instruction: Turn right onto Churchyard Path, Distance: 27.8 meters, Time: 20.0 seconds
Name: Little Britain, Instruction: Turn right onto Little Britain, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: West Smithfield, Instruction: Turn left onto West Smithfield, Distance: 7.9 meters, Time: 5.7 seconds
Name: West Smithfield, Instruction: Turn slight left onto West Smithfield, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: West Smithfield, Instruction: Turn left onto West Smithfield, Distance: 52.5 meters, Time: 37.8 seconds
Name: Giltspur Street, Instruction: Continue straight onto Giltspur Street, Distance: 134.3 meters, Time: 96.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 392.0 meters, Time: 282.3 seconds
Name: -, Instruction: Turn slight left, Distance: 308.8 meters, Time: 222.3 seconds
Name: Staple Inn Buildings, Instruction: Turn left onto Staple Inn Buildings, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn right, Distance: 91.9 meters, Time: 66.1 seconds
Name: Chancery Lane, B400, Instruction: Turn right onto Chancery Lane, B400, Distance: 24.4 meters, Time: 17.5 seconds
Name: Stone Buildings, Instruction: Turn left onto Stone Buildings, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Keep right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
