Name: Bingfield Street, Instruction: Head west on Bingfield Street, Distance: 116.0 meters, Time: 83.5 seconds
Name: Bemerton Street, Instruction: Turn left onto Bemerton Street, Distance: 247.7 meters, Time: 178.3 seconds
Name: Copenhagen Street, B514, Instruction: Turn right onto Copenhagen Street, B514, Distance: 29.4 meters, Time: 21.1 seconds
Name: Treaty Street, Instruction: Turn left onto Treaty Street, Distance: 90.6 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.8 seconds
Name: Tiber Gardens, Instruction: Turn left onto Tiber Gardens, Distance: 21.7 meters, Time: 15.6 seconds
Name: Tiber Gardens, Instruction: Turn right onto Tiber Gardens, Distance: 78.5 meters, Time: 56.6 seconds
Name: Tiber Gardens, Instruction: Turn left onto Tiber Gardens, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn slight right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 125.7 meters, Time: 90.5 seconds
Name: Crinan Street, Instruction: Turn left onto Crinan Street, Distance: 143.5 meters, Time: 103.3 seconds
Name: Wharfdale Road, A5203, Instruction: Turn left onto Wharfdale Road, A5203, Distance: 5.6 meters, Time: 4.0 seconds
Name: Trematon Walk, Instruction: Turn right onto Trematon Walk, Distance: 70.1 meters, Time: 50.5 seconds
Name: Railway Street, Instruction: Turn left onto Railway Street, Distance: 10.9 meters, Time: 7.9 seconds
Name: Albion Yard, Instruction: Turn right onto Albion Yard, Distance: 136.7 meters, Time: 98.4 seconds
Name: Caledonia Street, Instruction: Turn right onto Caledonia Street, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 108.6 meters, Time: 78.2 seconds
Name: Euston Road, Instruction: Turn right onto Euston Road, Distance: 105.0 meters, Time: 75.6 seconds
Name: Euston Road, Instruction: Turn slight left onto Euston Road, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn left, Distance: 46.4 meters, Time: 33.4 seconds
Name: Euston Road, Instruction: Turn right onto Euston Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: Argyle Street, Instruction: Turn left onto Argyle Street, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Argyle Street, Instruction: Turn left onto Argyle Street, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.2 seconds
Name: Tonbridge Walk, Instruction: Turn left onto Tonbridge Walk, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 79.9 meters, Time: 57.6 seconds
Name: -, Instruction: Turn slight right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Keep left, Distance: 156.2 meters, Time: 112.5 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Leigh Street, Instruction: Turn right onto Leigh Street, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 142.6 meters, Time: 102.7 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 118.5 meters, Time: 85.4 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
