Name: Huxley Drive, Instruction: Head southwest on Huxley Drive, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Keep right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Keep right, Distance: 24.7 meters, Time: 17.8 seconds
Name: Olive Schreiner Way, Instruction: Turn right onto Olive Schreiner Way, Distance: 539.5 meters, Time: 388.4 seconds
Name: Purcell Way, Instruction: Continue straight onto Purcell Way, Distance: 381.2 meters, Time: 274.5 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Continue straight, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 992.7 meters, Time: 714.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
