Name: Rue Vernet, Instruction: Head northwest on Rue Vernet, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: Rue de Bassano, Instruction: Turn right onto Rue de Bassano, Distance: 10.3 meters, Time: 7.4 seconds
Name: Promenade des Champs-Élysées, Instruction: Turn left onto Promenade des Champs-Élysées, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: Rue Balzac, Instruction: Turn right onto Rue Balzac, Distance: 223.0 meters, Time: 160.6 seconds
Name: Avenue de Friedland, Instruction: Turn right onto Avenue de Friedland, Distance: 23.1 meters, Time: 16.6 seconds
Name: Rue Balzac, Instruction: Turn left onto Rue Balzac, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 139.4 meters, Time: 100.3 seconds
Name: -, Instruction: Turn right, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
