Name: Gazania Street, Instruction: Head south on Gazania Street, Distance: 86.7 meters, Time: 62.4 seconds
Name: Dromedaris Street, Instruction: Turn left onto Dromedaris Street, Distance: 21.8 meters, Time: 15.7 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Keep left, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: Athlone Street, Instruction: Turn left onto Athlone Street, Distance: 18.0 meters, Time: 12.9 seconds
Name: Louis Botha Avenue, Instruction: Turn right onto Louis Botha Avenue, Distance: 144.0 meters, Time: 103.7 seconds
Name: Gladstone Street, Instruction: Turn left onto Gladstone Street, Distance: 128.1 meters, Time: 92.2 seconds
Name: Martin Adams Street, Instruction: Turn right onto Martin Adams Street, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
