Name: Coach Drive, Instruction: Head southeast on Coach Drive, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Sirius Road, Instruction: Turn right onto Sirius Road, Distance: 47.6 meters, Time: 34.3 seconds
Name: Boronia Drive, Instruction: Turn left onto Boronia Drive, Distance: 148.9 meters, Time: 107.2 seconds
Name: Orlando Crescent, Instruction: Turn right onto Orlando Crescent, Distance: 61.0 meters, Time: 43.9 seconds
Name: Orlando Crescent, Instruction: Keep left onto Orlando Crescent, Distance: 17.3 meters, Time: 12.5 seconds
Name: Orlando Crescent, Instruction: Enter the roundabout and take the 1st exit onto Orlando Crescent, Distance: 229.5 meters, Time: 165.2 seconds
Name: Orlando Crescent, Instruction: Keep right onto Orlando Crescent, Distance: 17.4 meters, Time: 12.5 seconds
Name: Orlando Crescent, Instruction: Enter the roundabout and take the 3rd exit onto Orlando Crescent, Distance: 183.3 meters, Time: 132.0 seconds
Name: Pelorus Avenue, Instruction: Turn left onto Pelorus Avenue, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at Pelorus Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
