Name: Coach Drive, Instruction: Head southeast on Coach Drive, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Sirius Road, Instruction: Turn right onto Sirius Road, Distance: 47.6 meters, Time: 34.3 seconds
Name: Boronia Drive, Instruction: Turn left onto Boronia Drive, Distance: 148.9 meters, Time: 107.2 seconds
Name: Orlando Crescent, Instruction: Turn right onto Orlando Crescent, Distance: 61.0 meters, Time: 43.9 seconds
Name: Orlando Crescent, Instruction: Keep left onto Orlando Crescent, Distance: 17.3 meters, Time: 12.5 seconds
Name: Orlando Crescent, Instruction: Enter the roundabout and take the 1st exit onto Orlando Crescent, Distance: 61.8 meters, Time: 44.5 seconds
Name: Torch Street, Instruction: Turn right onto Torch Street, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
