Name: Calypso Way, Instruction: Head west on Calypso Way, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 492.4 meters, Time: 354.5 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 163.1 meters, Time: 117.4 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 220.7 meters, Time: 158.9 seconds
Name: -, Instruction: Keep left, Distance: 164.9 meters, Time: 118.7 seconds
Name: -, Instruction: Turn right, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 477.2 meters, Time: 343.6 seconds
Name: -, Instruction: Turn right, Distance: 99.9 meters, Time: 71.9 seconds
Name: -, Instruction: Turn right, Distance: 60.6 meters, Time: 43.7 seconds
Name: -, Instruction: Turn left, Distance: 171.1 meters, Time: 123.2 seconds
Name: Mossop Rise, Instruction: Turn right onto Mossop Rise, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn slight right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 129.4 meters, Time: 93.2 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
