Name: Rue Paul Bert, Instruction: Head south on Rue Paul Bert, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 44.5 meters, Time: 32.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 220.0 meters, Time: 158.4 seconds
Name: -, Instruction: Turn slight left, Distance: 98.4 meters, Time: 70.8 seconds
Name: -, Instruction: Turn left, Distance: 120.5 meters, Time: 86.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: Rue Charles Baudelaire, Instruction: Turn right onto Rue Charles Baudelaire, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at Rue Charles Baudelaire, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
