Name: Linwood Road, Instruction: Head north on Linwood Road, Distance: 25.5 meters, Time: 18.4 seconds
Name: Dyke Road, Instruction: Keep right onto Dyke Road, Distance: 282.4 meters, Time: 203.3 seconds
Name: Karaka Village Parade, Instruction: Turn left onto Karaka Village Parade, Distance: 113.7 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: Maungakaraka Road, Instruction: Turn right onto Maungakaraka Road, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
