Name: Glenvar Ridge Road, Instruction: Head southwest on Glenvar Ridge Road, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 175.6 meters, Time: 126.4 seconds
Name: -, Instruction: Keep right, Distance: 164.5 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Continue straight, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Keep right, Distance: 192.4 meters, Time: 138.5 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
