Name: Vine Avenue, Instruction: Head east on Vine Avenue, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 154.8 meters, Time: 111.4 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Junction Road, Instruction: Turn left onto Junction Road, Distance: 427.6 meters, Time: 307.9 seconds
Name: Westport Avenue, Instruction: Turn right onto Westport Avenue, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn left, Distance: 324.0 meters, Time: 233.2 seconds
Name: -, Instruction: Turn slight left, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Keep left, Distance: 316.2 meters, Time: 227.6 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
