Name: Leander Road, Instruction: Head northwest on Leander Road, Distance: 24.1 meters, Time: 17.3 seconds
Name: Josephine Avenue, Instruction: Turn right onto Josephine Avenue, Distance: 192.5 meters, Time: 138.6 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 353.3 meters, Time: 254.4 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Turn left, Distance: 257.4 meters, Time: 185.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.3 meters, Time: 35.5 seconds
Name: Mumford Road, Instruction: Turn right onto Mumford Road, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Arrive at Mumford Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
