Name: Hinemoa Street, Instruction: Head northwest on Hinemoa Street, Distance: 206.7 meters, Time: 148.8 seconds
Name: Wakanui Street, Instruction: Turn right onto Wakanui Street, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 287.0 meters, Time: 206.6 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 493.4 meters, Time: 355.3 seconds
Name: -, Instruction: Turn slight right, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 390.0 meters, Time: 280.8 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Keep right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Mahara Avenue, Instruction: Turn left onto Mahara Avenue, Distance: 226.6 meters, Time: 163.1 seconds
Name: -, Instruction: Turn slight left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Keep right, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
