Name: Hallsteinweg, Instruction: Head east on Hallsteinweg, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 27.9 meters, Time: 20.1 seconds
Name: Maximilian-Kolbe-Allee, Instruction: Turn slight right onto Maximilian-Kolbe-Allee, Distance: 100.4 meters, Time: 72.3 seconds
Name: Therese-Giehse-Allee, Instruction: Turn left onto Therese-Giehse-Allee, Distance: 8.1 meters, Time: 5.8 seconds
Name: Maximilian-Kolbe-Allee, Instruction: Turn right onto Maximilian-Kolbe-Allee, Distance: 251.0 meters, Time: 180.7 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: Schindlerplatz, Instruction: Turn right onto Schindlerplatz, Distance: 25.1 meters, Time: 18.1 seconds
Name: Schindlerplatz, Instruction: Turn left onto Schindlerplatz, Distance: 79.8 meters, Time: 57.5 seconds
Name: Schindlerplatz, Instruction: Keep left onto Schindlerplatz, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 153.3 meters, Time: 110.4 seconds
Name: -, Instruction: Keep right, Distance: 576.1 meters, Time: 414.8 seconds
Name: -, Instruction: Keep right, Distance: 130.5 meters, Time: 94.0 seconds
Name: -, Instruction: Turn left, Distance: 128.7 meters, Time: 92.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
