Name: Lorong Kismis, Instruction: Head east on Lorong Kismis, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 655.6 meters, Time: 472.0 seconds
Name: Toh Tuck Place, Instruction: Turn right onto Toh Tuck Place, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 535.8 meters, Time: 385.8 seconds
Name: -, Instruction: Turn right, Distance: 282.2 meters, Time: 203.2 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 369.5 meters, Time: 266.1 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn slight right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
