Name: Struan Place, Instruction: Head west on Struan Place, Distance: 44.8 meters, Time: 32.2 seconds
Name: Aberfeldy Avenue, Instruction: Turn left onto Aberfeldy Avenue, Distance: 25.5 meters, Time: 18.3 seconds
Name: Palmcrest Grove, Instruction: Turn right onto Palmcrest Grove, Distance: 58.1 meters, Time: 41.9 seconds
Name: Palmcrest Grove, Instruction: Turn right onto Palmcrest Grove, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 155.3 meters, Time: 111.8 seconds
Name: Tomintoul Place, Instruction: Turn left onto Tomintoul Place, Distance: 108.9 meters, Time: 78.4 seconds
Name: Highland Park Drive, Instruction: Turn left onto Highland Park Drive, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 166.3 meters, Time: 119.7 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
