Name: Glenhaven Street, Instruction: Head south on Glenhaven Street, Distance: 115.9 meters, Time: 83.4 seconds
Name: Eglinton Avenue West, Instruction: Turn left onto Eglinton Avenue West, Distance: 11.9 meters, Time: 8.6 seconds
Name: Venn Crescent, Instruction: Turn right onto Venn Crescent, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Keep left, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Kane Avenue, Instruction: Turn left onto Kane Avenue, Distance: 1117.9 meters, Time: 804.9 seconds
Name: -, Instruction: Turn left, Distance: 269.6 meters, Time: 194.1 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 514.4 meters, Time: 370.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
