Name: Maltings Place, Instruction: Head west on Maltings Place, Distance: 4.0 meters, Time: 2.9 seconds
Name: Brunswick Court, Instruction: Turn left onto Brunswick Court, Distance: 125.1 meters, Time: 90.1 seconds
Name: Tanner Street, Instruction: Turn left onto Tanner Street, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 291.7 meters, Time: 210.0 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Keep left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 346.0 meters, Time: 249.1 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: Darwin Street, Instruction: Turn right onto Darwin Street, Distance: 200.1 meters, Time: 144.0 seconds
Name: Barlow Street, Instruction: Turn left onto Barlow Street, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn slight left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: Elsted Street, Instruction: Turn left onto Elsted Street, Distance: 5.9 meters, Time: 4.2 seconds
Name: Hearn's Buildings, Instruction: Turn right onto Hearn's Buildings, Distance: 34.2 meters, Time: 24.6 seconds
Name: Kennedy Walk, Instruction: Turn slight right onto Kennedy Walk, Distance: 30.2 meters, Time: 21.7 seconds
Name: Flint Street, Instruction: Turn left onto Flint Street, Distance: 341.9 meters, Time: 246.2 seconds
Name: Inville Road, Instruction: Turn right onto Inville Road, Distance: 153.4 meters, Time: 110.5 seconds
Name: Inville Road, Instruction: Turn left onto Inville Road, Distance: 147.5 meters, Time: 106.2 seconds
Name: Beaconsfield Road, Instruction: Turn right onto Beaconsfield Road, Distance: 84.9 meters, Time: 61.1 seconds
Name: Hopwood Road, Instruction: Turn left onto Hopwood Road, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Arrive at Hopwood Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
