Name: 大和町中央通り, Instruction: Head southeast on 大和町中央通り, Distance: 46.6 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 212.8 meters, Time: 153.2 seconds
Name: -, Instruction: Turn right, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Continue straight, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Keep right, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Turn left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn slight right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight left, Distance: 936.3 meters, Time: 674.1 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
