Name: Voie CV/15, Instruction: Head southeast on Voie CV/15, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: Allée Marguerite Yourcenar, Instruction: Turn left onto Allée Marguerite Yourcenar, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: Rue Edgar Faure, Instruction: Turn left onto Rue Edgar Faure, Distance: 6.6 meters, Time: 4.7 seconds
Name: Rue Desaix, Instruction: Turn right onto Rue Desaix, Distance: 99.8 meters, Time: 71.8 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight right, Distance: 72.3 meters, Time: 52.0 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: Avenue du Docteur Brouardel, Instruction: Turn left onto Avenue du Docteur Brouardel, Distance: 104.2 meters, Time: 75.0 seconds
Name: Allée Thomy Thierry, Instruction: Turn left onto Allée Thomy Thierry, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn slight right, Distance: 56.7 meters, Time: 40.8 seconds
Name: Avenue Anatole France, Instruction: Turn left onto Avenue Anatole France, Distance: 9.0 meters, Time: 6.5 seconds
Name: Avenue Gustave Eiffel, Instruction: Turn right onto Avenue Gustave Eiffel, Distance: 97.1 meters, Time: 69.9 seconds
Name: Allée Jean Paulhan, Instruction: Turn left onto Allée Jean Paulhan, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Keep right, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue de l'Université, Instruction: Continue straight onto Rue de l'Université, Distance: 163.0 meters, Time: 117.3 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: Esplanade David Ben-Gourion, Instruction: Continue straight onto Esplanade David Ben-Gourion, Distance: 11.9 meters, Time: 8.6 seconds
Name: Passerelle Debilly, Instruction: Continue straight onto Passerelle Debilly, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Continue straight, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Continue straight, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Continue straight, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Continue straight, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Continue straight, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Continue straight, Distance: 0.8 meters, Time: 0.5 seconds
Name: -, Instruction: Continue straight, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Continue straight, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Continue straight, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
