Name: East Lane, Instruction: Head north on East Lane, Distance: 126.0 meters, Time: 90.7 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.6 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 93.3 meters, Time: 67.2 seconds
Name: Carinya Avenue, Instruction: Turn right onto Carinya Avenue, Distance: 42.7 meters, Time: 30.7 seconds
Name: Benalong Street, Instruction: Turn left onto Benalong Street, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 110.3 meters, Time: 79.4 seconds
Name: Taroona Avenue, Instruction: Turn right onto Taroona Avenue, Distance: 4.9 meters, Time: 3.5 seconds
Name: Waratah Street, Instruction: Turn left onto Waratah Street, Distance: 111.8 meters, Time: 80.5 seconds
Name: Kalang Avenue, Instruction: Turn right onto Kalang Avenue, Distance: 118.0 meters, Time: 84.9 seconds
Name: -, Instruction: Turn left, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
