Name: Avenida San Miguel Chalma, Instruction: Head southwest on Avenida San Miguel Chalma, Distance: 335.5 meters, Time: 241.5 seconds
Name: Calle Nayarit, Instruction: Turn left onto Calle Nayarit, Distance: 124.9 meters, Time: 89.9 seconds
Name: Calle Jalisco, Instruction: Turn right onto Calle Jalisco, Distance: 223.0 meters, Time: 160.6 seconds
Name: Calle Estado de México, Instruction: Turn left onto Calle Estado de México, Distance: 53.9 meters, Time: 38.8 seconds
Name: Calle Morelos, Instruction: Turn right onto Calle Morelos, Distance: 724.3 meters, Time: 521.5 seconds
Name: Calle Doctor Río de la Loza, Instruction: Turn left onto Calle Doctor Río de la Loza, Distance: 16.9 meters, Time: 12.2 seconds
Name: Calle Jaime Nunó, Instruction: Continue straight onto Calle Jaime Nunó, Distance: 206.2 meters, Time: 148.4 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: Calle Jaime Nunó, Instruction: Turn right onto Calle Jaime Nunó, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 141.6 meters, Time: 101.9 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn left, Distance: 159.7 meters, Time: 114.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
