Name: Leopold Street, Instruction: Head east on Leopold Street, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 170.4 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 109.9 meters, Time: 79.2 seconds
Name: -, Instruction: Keep right, Distance: 241.5 meters, Time: 173.9 seconds
Name: -, Instruction: Keep right, Distance: 126.3 meters, Time: 90.9 seconds
Name: -, Instruction: Keep right, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Keep right, Distance: 122.6 meters, Time: 88.2 seconds
Name: -, Instruction: Turn slight right, Distance: 858.5 meters, Time: 618.1 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 192.0 meters, Time: 138.3 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
