Name: Wainoni Heights, Instruction: Head northwest on Wainoni Heights, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn left, Distance: 246.9 meters, Time: 177.8 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight right, Distance: 498.1 meters, Time: 358.7 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Churchouse Road, Instruction: Turn right onto Churchouse Road, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 330.5 meters, Time: 238.0 seconds
Name: Roland Road, Instruction: Turn right onto Roland Road, Distance: 333.1 meters, Time: 239.8 seconds
Name: Kingfisher Grove, Instruction: Keep left onto Kingfisher Grove, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Arrive at Kingfisher Grove, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
