Name: Petergörglstraße, Instruction: Head northeast on Petergörglstraße, Distance: 5.0 meters, Time: 3.6 seconds
Name: Menzinger Straße, Instruction: Turn right onto Menzinger Straße, Distance: 156.7 meters, Time: 112.9 seconds
Name: Piltzweg, Instruction: Turn left onto Piltzweg, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 337.9 meters, Time: 243.3 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 184.4 meters, Time: 132.8 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Keep left, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Keep right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Badenburgstraße, Instruction: Turn left onto Badenburgstraße, Distance: 119.8 meters, Time: 86.2 seconds
Name: Badenburgstraße, Instruction: Keep right onto Badenburgstraße, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at Badenburgstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
