Name: Stella Road, Instruction: Head southwest on Stella Road, Distance: 413.0 meters, Time: 297.4 seconds
Name: Dawn Road, Instruction: Turn right onto Dawn Road, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: Montague Drive, Instruction: Turn left onto Montague Drive, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 47.6 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.3 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn right, Distance: 75.7 meters, Time: 54.5 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 90.5 meters, Time: 65.1 seconds
Name: BP Road, Instruction: Turn left onto BP Road, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Turn right, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
