Name: Thames Avenue, Instruction: Head west on Thames Avenue, Distance: 60.6 meters, Time: 43.6 seconds
Name: Marico Street, Instruction: Turn right onto Marico Street, Distance: 255.6 meters, Time: 184.0 seconds
Name: Vygekraal Road, Instruction: Turn right onto Vygekraal Road, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 90.8 meters, Time: 65.4 seconds
Name: Ohio Avenue, Instruction: Turn slight left onto Ohio Avenue, Distance: 346.0 meters, Time: 249.1 seconds
Name: Delaware Avenue, Instruction: Turn left onto Delaware Avenue, Distance: 341.0 meters, Time: 245.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Ebrahim Road, Instruction: Turn left onto Ebrahim Road, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 130.7 meters, Time: 94.1 seconds
Name: Mymoena Crescent, Instruction: Turn right onto Mymoena Crescent, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn slight right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 130.1 meters, Time: 93.7 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: Mymoena Crescent, Instruction: Turn right onto Mymoena Crescent, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 150.5 meters, Time: 108.4 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn slight right, Distance: 70.4 meters, Time: 50.7 seconds
Name: Lodewyk Road, Instruction: Turn left onto Lodewyk Road, Distance: 46.1 meters, Time: 33.2 seconds
Name: Bakker Road, Instruction: Turn right onto Bakker Road, Distance: 241.5 meters, Time: 173.9 seconds
Name: Jim Francis Road, Instruction: Turn right onto Jim Francis Road, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Arrive at Jim Francis Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
