Name: Ina-Seidel-Bogen, Instruction: Head east on Ina-Seidel-Bogen, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 137.3 meters, Time: 98.9 seconds
Name: -, Instruction: Turn left, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: Walter-Meckauer-Weg, Instruction: Turn slight left onto Walter-Meckauer-Weg, Distance: 66.6 meters, Time: 48.0 seconds
Name: Walter-Meckauer-Weg, Instruction: Turn slight right onto Walter-Meckauer-Weg, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 473.2 meters, Time: 340.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
