Name: NZ08, Instruction: Head north on NZ08, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 212.4 meters, Time: 153.0 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: Thomas-Dehler-Straße, Instruction: Turn left onto Thomas-Dehler-Straße, Distance: 218.4 meters, Time: 157.3 seconds
Name: Putzbrunner Straße, Instruction: Keep left onto Putzbrunner Straße, Distance: 12.6 meters, Time: 9.1 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 419.3 meters, Time: 301.9 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 19.2 meters, Time: 13.8 seconds
Name: Therese-Giehse-Allee, Instruction: Continue straight onto Therese-Giehse-Allee, Distance: 212.8 meters, Time: 153.2 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
