Name: St. Mathias Place, Instruction: Head south on St. Mathias Place, Distance: 380.0 meters, Time: 273.6 seconds
Name: -, Instruction: Turn right, Distance: 51.7 meters, Time: 37.2 seconds
Name: Bellwoods Avenue, Instruction: Turn left onto Bellwoods Avenue, Distance: 170.4 meters, Time: 122.7 seconds
Name: Queen Street West, Instruction: Turn right onto Queen Street West, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Richmond Street West, Instruction: Turn left onto Richmond Street West, Distance: 12.5 meters, Time: 9.0 seconds
Name: Walnut Avenue, Instruction: Turn right onto Walnut Avenue, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.6 meters, Time: 2.6 seconds
Name: Walnut Avenue, Instruction: Turn sharp left onto Walnut Avenue, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Arrive at Walnut Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
