Name: Andador 1, Instruction: Head south on Andador 1, Distance: 26.1 meters, Time: 18.8 seconds
Name: Avenida Genaro Estrada, Instruction: Turn right onto Avenida Genaro Estrada, Distance: 100.6 meters, Time: 72.5 seconds
Name: Calle 6 Casimiro del Valle, Instruction: Turn left onto Calle 6 Casimiro del Valle, Distance: 60.4 meters, Time: 43.5 seconds
Name: Calle 5 Casimiro del Valle, Instruction: Turn right onto Calle 5 Casimiro del Valle, Distance: 148.9 meters, Time: 107.2 seconds
Name: Calle 2 Casimiro del Valle, Instruction: Turn right onto Calle 2 Casimiro del Valle, Distance: 70.2 meters, Time: 50.6 seconds
Name: Avenida Genaro Estrada, Instruction: Turn sharp left onto Avenida Genaro Estrada, Distance: 448.8 meters, Time: 323.1 seconds
Name: -, Instruction: Turn right, Distance: 192.7 meters, Time: 138.7 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Keep right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn slight left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Keep right, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Keep left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn left, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Turn left, Distance: 306.4 meters, Time: 220.6 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 259.1 meters, Time: 186.6 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
