Name: Beach Haven Road, Instruction: Head east on Beach Haven Road, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 238.0 meters, Time: 171.4 seconds
Name: -, Instruction: Turn slight left, Distance: 388.5 meters, Time: 279.7 seconds
Name: -, Instruction: Keep left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn slight right, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 234.1 meters, Time: 168.6 seconds
Name: -, Instruction: Keep right, Distance: 214.3 meters, Time: 154.3 seconds
Name: -, Instruction: Turn left, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn right, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
