Name: Kenning Street, Instruction: Head southwest on Kenning Street, Distance: 14.8 meters, Time: 10.7 seconds
Name: Railway Avenue, Instruction: Turn right onto Railway Avenue, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: Hatteraick Road, Instruction: Turn left onto Hatteraick Road, Distance: 92.6 meters, Time: 66.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 40.2 meters, Time: 29.0 seconds
Name: St Marychurch Street, Instruction: Turn left onto St Marychurch Street, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 413.6 meters, Time: 297.8 seconds
Name: -, Instruction: Turn left, Distance: 64.1 meters, Time: 46.1 seconds
Name: Jamaica Road, Instruction: Turn right onto Jamaica Road, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: Jamaica Road, Instruction: Turn right onto Jamaica Road, Distance: 126.4 meters, Time: 91.0 seconds
Name: Drummond Road, Instruction: Turn left onto Drummond Road, Distance: 27.9 meters, Time: 20.1 seconds
Name: Perryn Road, Instruction: Turn right onto Perryn Road, Distance: 88.2 meters, Time: 63.5 seconds
Name: Keeton's Road, Instruction: Turn left onto Keeton's Road, Distance: 276.3 meters, Time: 198.9 seconds
Name: Stork's Road, Instruction: Turn left onto Stork's Road, Distance: 71.1 meters, Time: 51.2 seconds
Name: Webster Road, Instruction: Turn right onto Webster Road, Distance: 18.7 meters, Time: 13.4 seconds
Name: Salisbury Court, Instruction: Turn left onto Salisbury Court, Distance: 51.8 meters, Time: 37.3 seconds
Name: Clements Road, Instruction: Turn right onto Clements Road, Distance: 72.4 meters, Time: 52.1 seconds
Name: St James's Road, Instruction: Turn left onto St James's Road, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: St James's Road, Instruction: Turn right onto St James's Road, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
