Name: Rue Emeriau, Instruction: Head southwest on Rue Emeriau, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn left, Distance: 134.5 meters, Time: 96.8 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 222.5 meters, Time: 160.2 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 317.6 meters, Time: 228.6 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Keep right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 164.9 meters, Time: 118.7 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Rue de Lourmel, Instruction: Turn right onto Rue de Lourmel, Distance: 229.5 meters, Time: 165.2 seconds
Name: Rue de Lourmel, Instruction: Keep left onto Rue de Lourmel, Distance: 24.9 meters, Time: 18.0 seconds
Name: Rue de Lourmel, Instruction: Continue straight onto Rue de Lourmel, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 235.0 meters, Time: 169.2 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
