Name: Boulevard Adolfo Ruiz Cortines, Instruction: Head west on Boulevard Adolfo Ruiz Cortines, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 203.5 meters, Time: 146.6 seconds
Name: -, Instruction: Turn right, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 180.2 meters, Time: 129.8 seconds
Name: -, Instruction: Keep left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Keep right, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn right, Distance: 56.2 meters, Time: 40.4 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 198.2 meters, Time: 142.7 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
