Name: Kingsgrove Road, Instruction: Head north on Kingsgrove Road, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 132.6 meters, Time: 95.5 seconds
Name: -, Instruction: Continue straight, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 571.5 meters, Time: 411.5 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn slight right, Distance: 318.0 meters, Time: 229.0 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.3 seconds
Name: Forsyth Street, Instruction: Turn left onto Forsyth Street, Distance: 236.7 meters, Time: 170.4 seconds
Name: Robert Street, Instruction: Turn right onto Robert Street, Distance: 1.6 meters, Time: 1.2 seconds
Name: Forsyth Street, Instruction: Enter the roundabout and take the 1st exit onto Forsyth Street, Distance: 318.2 meters, Time: 229.1 seconds
Name: Trafalgar Street, Instruction: Turn right onto Trafalgar Street, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at Trafalgar Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
