Name: Rakaia Rise, Instruction: Head south on Rakaia Rise, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: Rotoma Rise, Instruction: Turn right onto Rotoma Rise, Distance: 118.8 meters, Time: 85.5 seconds
Name: Charntay Avenue, Instruction: Turn left onto Charntay Avenue, Distance: 501.6 meters, Time: 361.2 seconds
Name: Diorella Drive, Instruction: Turn right onto Diorella Drive, Distance: 261.4 meters, Time: 188.2 seconds
Name: -, Instruction: Keep left, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 357.1 meters, Time: 257.1 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
