Name: Belle Verde Drive, Instruction: Head northeast on Belle Verde Drive, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Keep right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn slight right, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Keep left, Distance: 61.9 meters, Time: 44.6 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.4 seconds
Name: Matipo Road, Instruction: Turn left onto Matipo Road, Distance: 517.3 meters, Time: 372.5 seconds
Name: -, Instruction: Turn right, Distance: 154.9 meters, Time: 111.5 seconds
Name: Newhaven Terrace, Instruction: Turn left onto Newhaven Terrace, Distance: 509.4 meters, Time: 366.8 seconds
Name: Beach Road, Instruction: Turn right onto Beach Road, Distance: 106.8 meters, Time: 76.9 seconds
Name: Beach Road, Instruction: Keep right onto Beach Road, Distance: 27.4 meters, Time: 19.7 seconds
Name: Beach Road, Instruction: Enter the roundabout and take the 1st exit onto Beach Road, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at Beach Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
