Name: Rue Cassette, Instruction: Head north on Rue Cassette, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: Rue de Rennes, Instruction: Turn right onto Rue de Rennes, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rue de Rennes, Instruction: Turn right onto Rue de Rennes, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue de Grenelle, Instruction: Turn right onto Rue de Grenelle, Distance: 361.7 meters, Time: 260.4 seconds
Name: Rue de Grenelle, Instruction: Keep left onto Rue de Grenelle, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 165.3 meters, Time: 119.0 seconds
Name: -, Instruction: Turn slight right, Distance: 246.5 meters, Time: 177.4 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn slight left, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Turn right onto Passerelle Léopold-Sédar-Senghor, Distance: 3.5 meters, Time: 2.5 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Continue straight onto Passerelle Léopold-Sédar-Senghor, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 415.7 meters, Time: 299.3 seconds
Name: -, Instruction: Turn left, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn slight left, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue du Mont Thabor, Instruction: Turn left onto Rue du Mont Thabor, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at Rue du Mont Thabor, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
