Name: شارع ابن السراج, Instruction: Head southeast on شارع ابن السراج, Distance: 225.3 meters, Time: 162.2 seconds
Name: شارع الحسن بن على, Instruction: Turn left onto شارع الحسن بن على, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: شارع الحسن بن على, Instruction: Turn left onto شارع الحسن بن على, Distance: 20.2 meters, Time: 14.6 seconds
Name: شارع الشهيد محمد عاشور, Instruction: Turn right onto شارع الشهيد محمد عاشور, Distance: 173.4 meters, Time: 124.8 seconds
Name: -, Instruction: Turn right, Distance: 78.8 meters, Time: 56.7 seconds
Name: شارع الشهيد عبد الرحمن زارع, Instruction: Turn left onto شارع الشهيد عبد الرحمن زارع, Distance: 40.3 meters, Time: 29.0 seconds
Name: شارع الشهيد عبد الرحمن زارع, Instruction: Keep right onto شارع الشهيد عبد الرحمن زارع, Distance: 32.5 meters, Time: 23.4 seconds
Name: شارع ابو سهل الكوهى, Instruction: Turn right onto شارع ابو سهل الكوهى, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Continue straight, Distance: 75.3 meters, Time: 54.2 seconds
Name: شارع الشهيد كريم وجيه سيف, Instruction: Turn left onto شارع الشهيد كريم وجيه سيف, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: شارع الشهيد كريم وجيه سيف, Instruction: Turn right onto شارع الشهيد كريم وجيه سيف, Distance: 41.5 meters, Time: 29.9 seconds
Name: شارع النوبرى, Instruction: Keep left onto شارع النوبرى, Distance: 228.2 meters, Time: 164.3 seconds
Name: -, Instruction: Turn right, Distance: 89.1 meters, Time: 64.1 seconds
Name: شارع عبد الحميد الكاتب, Instruction: Turn left onto شارع عبد الحميد الكاتب, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: شارع ابن حجر العسقلانى, Instruction: Turn right onto شارع ابن حجر العسقلانى, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: شارع ابو الفضل الحارثى, Instruction: Turn slight right onto شارع ابو الفضل الحارثى, Distance: 56.7 meters, Time: 40.8 seconds
Name: شارع ابو الفضل الحارثى, Instruction: Turn left onto شارع ابو الفضل الحارثى, Distance: 201.5 meters, Time: 145.1 seconds
Name: شارع ابو الفضل الحارثى, Instruction: Keep right onto شارع ابو الفضل الحارثى, Distance: 38.6 meters, Time: 27.8 seconds
Name: محور محمد فريد, Instruction: Turn sharp left onto محور محمد فريد, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: محور محمد فريد, Instruction: Turn right onto محور محمد فريد, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: شارع الشهيد كامل البدوى, Instruction: Turn left onto شارع الشهيد كامل البدوى, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at شارع الشهيد كامل البدوى, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
