Name: Tarentaal Road, Instruction: Head east on Tarentaal Road, Distance: 845.8 meters, Time: 609.0 seconds
Name: -, Instruction: Turn left, Distance: 201.0 meters, Time: 144.7 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight left, Distance: 20.9 meters, Time: 15.0 seconds
Name: Jakes Gerwel Drive, M7, Instruction: Turn left onto Jakes Gerwel Drive, M7, Distance: 330.6 meters, Time: 238.0 seconds
Name: -, Instruction: Keep right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Continue straight, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Continue straight, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Keep right, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: Archie Way, Instruction: Turn right onto Archie Way, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
