Name: Riesenfeldstraße, Instruction: Head east on Riesenfeldstraße, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn slight left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Keep left, Distance: 79.5 meters, Time: 57.2 seconds
Name: Konstanzer Straße, Instruction: Turn left onto Konstanzer Straße, Distance: 173.0 meters, Time: 124.6 seconds
Name: Norderneyer Straße, Instruction: Turn right onto Norderneyer Straße, Distance: 192.2 meters, Time: 138.4 seconds
Name: Preußenstraße, Instruction: Turn left onto Preußenstraße, Distance: 350.9 meters, Time: 252.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 35.9 meters, Time: 25.9 seconds
Name: Lerchenauer Straße, Instruction: Turn left onto Lerchenauer Straße, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: Helene-Mayer-Ring, Instruction: Continue straight onto Helene-Mayer-Ring, Distance: 75.7 meters, Time: 54.5 seconds
Name: Helene-Mayer-Ring, Instruction: Turn left onto Helene-Mayer-Ring, Distance: 232.5 meters, Time: 167.4 seconds
Name: Connollystraße, Instruction: Turn right onto Connollystraße, Distance: 27.5 meters, Time: 19.8 seconds
Name: Connollystraße, Instruction: Continue straight onto Connollystraße, Distance: 274.2 meters, Time: 197.4 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
