Name: Murdoch Street, Instruction: Head north on Murdoch Street, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 165.4 meters, Time: 119.1 seconds
Name: -, Instruction: Turn left, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn right, Distance: 439.5 meters, Time: 316.4 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 245.2 meters, Time: 176.6 seconds
Name: -, Instruction: Keep right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 548.1 meters, Time: 394.6 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: Ernest Street, Instruction: Turn right onto Ernest Street, Distance: 8.4 meters, Time: 6.1 seconds
Name: Lytton Street, Instruction: Turn left onto Lytton Street, Distance: 50.8 meters, Time: 36.6 seconds
Name: Lillis Street, Instruction: Turn right onto Lillis Street, Distance: 94.7 meters, Time: 68.1 seconds
Name: -, Instruction: Arrive at Lillis Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
